Stocks,Category,MachineType,InventoryTypeSH,CategorySH,Year,Make,ManufacturerSH,Model,ModelSH,Hours,Condition,Seller,PurchCity,PurchState,DaggerLocation,DatePurchased,PurchPrice, EstFreight , EstLabor , EstParts , EstSalePrice , EstTotalCost , EstProfit ,DateSold,Buyback, Freight , Labor , Parts , TotalRepairCost , ListingFees , BuybackFee ,TotalFees, TotalCOGS ,SaleType, SalePrice ,Profit,ProfitNoLabor,Turnover,ROI,,Collab,Jared,Dustin,Quinn,Nash,Gifford,Bunde,Chris,Ethan,Wes,Korey,(Numbers added since switching back to individual),Notes,AuctionEnd,ClosingTime
1475,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,2012,Rogator,ROGATOR,RG1100,RG1100,,,Purple Wave,Plainville,KS,"Fargo, ND",3/7/2022,21450.00,,,,,21450,  ,4/20/2022,,2000.00,3528.00,1000.00,4528.00,595.00,,595.00,28573.00,Auction,30348.00,1775.00,5303.00,44.00,0.06,6.21,3,,,,,1,1,1,,,,,,,
1476,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,2005,Raptor,RAPTOR,Pro 1200,PRO 1200,2697,,Sullivan Auctioneers,Akron,CO,"Fargo, ND",3/9/2022,20250.00,,,,40000,20250,19750,4/13/2022,,3500.00,2070.00,6.44,2076.44,595.00,,595.00,26421.44,Auction,27756.00,1334.56,3404.56,35.00,0.05,5.05,1,1,,,,,,,,,,,,,
1477,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,John Deere,JOHN DEERE,4960,4960,,,Rebel Auction (EF),Hazelhurst,GA,"Hurricane Mills, TN",3/11/2022,19825.00,,,,30000,19825,10175,5/11/2022,,1750.00,2700.00,5013.73,7713.73,595.00,,595.00,29883.73,Auction,32076.00,2192.27,4892.27,61.00,0.07,7.34,1,,,,,,,,1,,,,,,
1478,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,,Rogator,ROGATOR,854,RG854,4838,,"C & B Operations, LLC",Corsica,SD,"Fargo, ND",3/18/2022,12500.00,,,,25000,12500,12500,4/13/2022,,1600.00,1872.00,,1872.00,495.00,,495.00,16467.00,Auction,19656.00,3189.00,5061.00,26.00,0.19,19.37,1,1,,,,,,,,,,,,,
1479,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,John Deere,JOHN DEERE,6400,6400,3030,,Ritchie Bros,Lake Worth,TX,"Dallas, TX",3/21/2022,27261.00,,,,,27261,  ,4/18/2022,,100.00,1000.00,   ,1000.00,595.00,,595.00,28956.00,Auction,36612.00,7656.00,8656.00,28.00,0.26,26.44,2,,,,,,1,1,,,,,,,
1480,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,1979,John Deere,JOHN DEERE,4440,4440,10101,,Big Mountain,American Falls,ID,"Fargo, ND",3/17/2022,17425.00,,,,,17425,  ,4/28/2022,,2500.00,5587.50,1179.82,6767.32,495.00,,495.00,27187.32,Retail,26568.00,-619.32,4968.18,42.00,-0.02,-2.28,1,,,,,,,,1,,,,,,
1481,Agriculture,Tractor,Agricultural_Equipment,Tractors - 300 HP or Greater,2000,John Deere,JOHN DEERE,9400,9400,7914,,Ritchie Bros,Lake Worth,TX,"Dallas, TX",3/21/2022,36697.50,,,,,36697.5,  ,4/18/2022,,   ,1000.00,   ,1000.00,700.00,,700.00,38397.50,Auction,37800.00,-597.50,402.50,28.00,-0.02,-1.56,1,,,,,,,,1,,,,,,
1482,Agriculture,Tractor,Agricultural_Equipment,Tractors - 300 HP or Greater,2013,New Holland,NEW HOLLAND,T9.615S,T9.615,6140,,Ritchie Bros,Lake Worth,TX,"Dallas, TX",3/21/2022,81138.00,,,,,81138,  ,4/15/2022,,   ,1000.00,   ,1000.00,1718.00,,1718.00,83856.00,Auction,92772.00,8916.00,9916.00,25.00,0.11,10.63,1,,,,,,,,1,,,,,,
1483,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2007,Case IH,CASE IH,titan 3520,TITAN 3520,,,Jark/Worlie Auctions LLC,Ferney,SD,"Hawley, MN",3/21/2022,24600.00,,,,,24600,  ,4/13/2022,,1000.00,   ,   ,,595.00,,595.00,26195.00,Auction,31320.00,5125.00,5125.00,23.00,0.20,19.56,2,,,,,,1,1,,,,,,,
1484,Agriculture,Kernel Processor,Agricultural_Attachments,Attachments - Other,,John Deere,JOHN DEERE,Kernel Processor,KERNEL PROCESSOR,,,Ritchie Bros,Lake Worth,TX,"Dallas, TX",3/21/2022,1100.00,,,,5000,1100,3900,,1,100.00,   ,   ,,,24.00,24.00,1224.00,,,,,,,,1,,,,,,,,1,,,,Schedule?,,
1485,Agriculture,Kernel Processor,Agricultural_Attachments,Attachments - Other,,John Deere,JOHN DEERE,Kernel Processor,KERNEL PROCESSOR,,,Ritchie Bros,Lake Worth,TX,"Dallas, TX",3/21/2022,1100.00,,,,5000,1100,3900,,1,100.00,   ,   ,,,30.00,30.00,1230.00,,,,,,,,1,,,,,,,,1,,,,Schedule?,,
1486,Agriculture,Kernel Processor,Agricultural_Attachments,Attachments - Other,,John Deere,JOHN DEERE,Kernel Processor,KERNEL PROCESSOR,,,Ritchie Bros,Lake Worth,TX,"Dallas, TX",3/21/2022,1100.00,,,,5000,1100,3900,,1,100.00,   ,   ,,,27.00,27.00,1227.00,,,,,,,,1,,,,,,,,1,,,,Schedule?,,
1487,Agriculture,Kernel Processor,Agricultural_Attachments,Attachments - Other,,John Deere,JOHN DEERE,Kernel Processor,KERNEL PROCESSOR,,,Ritchie Bros,Lake Worth,TX,"Dallas, TX",3/21/2022,1100.00,,,,5000,1100,3900,,1,100.00,   ,   ,,,21.00,21.00,1221.00,,,,,,,,1,,,,,,,,1,,,,Schedule?,,
