Stocks,Category,MachineType,InventoryTypeSH,CategorySH,Year,Make,ManufacturerSH,Model,ModelSH,Hours,Condition,Seller,PurchCity,PurchState,DaggerLocation,DatePurchased,PurchPrice, EstFreight , EstLabor , EstParts , EstSalePrice , EstTotalCost , EstProfit ,DateSold,Buyback, Freight , Labor , Parts , TotalRepairCost , ListingFees , BuybackFee ,TotalFees, TotalCOGS ,SaleType, SalePrice ,Profit,ProfitNoLabor,Turnover,ROI,,Collab,Jared,Dustin,Quinn,Nash,Gifford,Bunde,Chris,Ethan,Wes,Korey,(Numbers added since switching back to individual),Notes,AuctionEnd,ClosingTime
1116,Agriculture,Haystacker,Trailers,Semi-Trailers - Flatbed Trailers,2020,Stinger,STINGER,8500,8500,500,3,Ritchie Bros Salvage,,,"Fargo, ND",6/26/2021,112420.00,,,,250000,112420,137580,2/2/2022,,9300.00,40268.00,43616.83,83884.83,4130.00,,4130.00,209734.83,Auction,223020.00,13285.17,53553.17,221.00,0.06,6.33,2,1,,,,,,,1,,,,?,,
1123,Agriculture,Tractor,,,,Case IH,,9250,,7195,,,,,"Fargo, ND",5/5/2021,24750.00,,,,,24750,  ,12/29/2021,,,  ,,,,,,24750.00,,  ,,,238.00,,,2,,,,,,1,1,,,,,?,,
1144,Construction,Forklift,Construction_Equipment,Lifts - Forklifts - Pneumatic Tire,,Caterpillar,CATERPILLAR,P33000,P33000,,,,,,"Fargo, ND",8/11/2021,21700.00,,,,,21700,  ,,,4300.00,  ,,,,,,26000.00,,  ,,,,,,1,,,,,,,,1,,,,ASSET,,
1161,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2017,Claas,CLAAS,Orbis 750,ORBIS 750,,,,,,"Fargo, ND",9/7/2021,30800.00,,,,,30800,  ,7/20/2022,1,687.50,124.50,1463.32,1587.82,595.00,595.00,1190.00,34265.32,Auction,32400.00,-1865.32,-1740.82,316.00,-0.05,-5.44,1,,,,,,,1,`,,,,?,,
1163,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2017,Claas,CLAAS,Orbis 900,ORBIS 900,,,,,,"Fargo, ND",9/6/2021,28050.00,,,,,28050,  ,7/20/2022,,687.50,427.50,1463.32,1890.82,706.00,,706.00,31334.32,Auction,38124.00,6789.68,7217.18,317.00,0.22,21.67,1,,,,,,,1,,,,,,,
1165,Agriculture,Tractor,Agricultural_Equipment,Tractors - 300 HP or Greater,1998,John Deere,JOHN DEERE,9200,9200,,,,,,"Fargo, ND",10/14/2021,19800.00,,,,25272,19800,5472,3/2/2022,,5689.30,692.00,500.00,1192.00,495.00,,495.00,27176.30,Auction,25272.00,-1904.30,-1212.30,139.00,-0.07,-7.01,1,,,,,,1,,,,,,,,
1173,Construction,Scissor Lift,Construction_Equipment,Lifts - Scissor Lifts - Slab,2013,Skyjack,SKYJACK,SJIII 4626,SJIII4626,,,,,,"Fargo, ND",9/2/2021,3960.00,,,,6000,3960,2040,,,1200.00,  ,,,,,,5160.00,,  ,,,,,,1,,,,,1,,,,,,,ASSET,,
1175,Construction,Crawler Dumper,Construction_Equipment,Crawler Carriers,2017,Prinoth,PRINOTH,Panther T12,PANTHER T12,,3,,,,"Fargo, ND",9/25/2021,47302.20,,,,100000,47302.2,52697.8,3/23/2022,,5800.00,1573.00,3711.66,5284.66,958.00,,958.00,59344.86,Auction,51732.00,-7612.86,-6039.86,179.00,-0.13,-12.83,2,1,,,,,,,1,,,,,,
1188,Construction,Skidsteer,Construction_Equipment,Skid Steers - Track,2019,Caterpillar,CATERPILLAR,298D,289D,,,Ritchie Bros,,,"Fargo, ND",9/8/2021,29971.00,,,,40000,29971,10029,2/23/2022,,950.00,435.00,1472.61,1907.61,1072.00,,1072.00,33900.61,Auction,57888.00,23987.39,24422.39,168.00,0.71,70.76,1,,,,,,,1,,,,,,,
1189,Construction,Boom Lift,Construction_Equipment,Lifts - Boom Lifts - Articulating,2019,JLG,JLG,800A,800A,195,3,,,,"Fargo, ND",9/20/2021,15126.00,,,,45000,15126,29874,,1,6500.00,  ,,,,295.00,295.00,21921.00,,  ,,,,,,1,1,,,,,,,,,,,ASSET,,
1190,Construction,Sweeper,,,2013,Tennant,,T20,,,,,,,"Fargo, ND",10/5/2021,5500.00,,,,,5500,  ,,,300.00,  ,,,,,,5800.00,,  ,,,,,,1,,,,,,,,1,,,,ASSET,,
1192,Construction,Skidsteer,Construction_Equipment,Skid Steers - Track,2016,Toro,TORO,TX-1000,DINGO TX1000N,,,,,,"Fargo, ND",10/1/2021,13500.00,,,,18000,13500,4500,3/16/2022,,1000.00,763.00,85.00,848.00,395.00,,395.00,15743.00,Auction,12528.00,-3215.00,-2452.00,166.00,-0.20,-20.42,1,,,,,,,1,,,,,,,
1193,Construction,Skidsteer,Construction_Equipment,Skid Steers - Track,2017,Toro,TORO,22323G,DINGO TX525N,,,,,,"Fargo, ND",10/1/2021,7750.00,,,,12000,7750,4250,2/16/2022,,1000.00,606.00,267.00,873.00,395.00,,395.00,10018.00,Auction,11556.00,1538.00,2144.00,138.00,0.15,15.35,1,,,,,,,1,,,,,,,
1203,Construction,Heater,Construction_Equipment,Towable Heaters,2018,Allmond Brothers,ALLMAND BROS,Maxi-Heat,MAXI HEAT 1MBTU,,,,,,"Fargo, ND",9/26/2021,15500.00,,,,25000,15500,9500,,,1000.00,  ,,,,,,16500.00,,  ,,,,,,1,1,,,,,,,,,,,ASSET,,
1205,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2005,Ag Chem,AG-CHEM,Terragator 9203,TERRAGATOR 9203,6158,,,,,"Fargo, ND",9/30/2021,7665.00,,,,,7665,  ,11/24/2021,1,3200.00,2338.00,960.99,3298.99,,395.00,395.00,14558.99,Auction,11988.00,-2570.99,-232.99,55.00,-0.18,-17.66,,,,,,,,,,,,,,,
1212,Agriculture,Spreader,Agricultural_Equipment,Chemical Applicators - Fertilizer Applicators - Dry,2016,Rogator,ROGATOR,9300B,RG9300B,,,,,,"Fargo, ND",9/30/2021,51540.00,,,,65000,51540,13460,3/28/2022,,,   ,,,500.00,,500.00,52040.00,Retail,55000.00,2960.00,2960.00,179.00,0.06,5.69,1,,,,,,,,1,,,,,,
1233,Construction,Dump Truck,Construction_Equipment,Off-Highway Trucks,2020,Bell,BELL,B45E,B45E,,,,,,"Fargo, ND",10/15/2021,121000.00,,,,250000,121000,129000,3/8/2022,,8000.00,39626.00,,39626.00,,,,168626.00,Retail,350000.00,181374.00,221000.00,144.00,1.08,107.56,1,,,,,,,,1,,,,,,
1234,Agriculture,Harvester,Agricultural_Equipment,Specialty Crop Equipment - Harvesters - Other,2020,Case IH,CASE IH,A9900 Sugar Cane,A9900,,,,,,"Fargo, ND",10/1/2021,34320.00,,,,,34320,  ,,,   ,  ,,,,,,34320.00,,  ,,,,,,1,,,,,,,,1,,,,ASSET,,
1248,Construction,Skidsteer,Construction_Equipment,Skid Steers - Track,2016,Toro,TORO,22327G,DINGO TX1000N,,,IronPlanet,,,"Fargo, ND",10/15/2021,14700.00,,,,19000,14700,4300,3/17/2022,,1300.00,1200.00,85.00,1285.00,495.00,,495.00,17780.00,Auction,17820.00,40.00,1240.00,153.00,0.00,0.22,1,,,,,,,1,,,,,,,
1255,Agriculture,Baler,Agricultural_Equipment,Hay and Forage Equipment - Round Balers,2016,Kubota,KUBOTA,BV4580,BV4580,,,,,,"Fargo, ND",11/12/2021,12870.00,,,,20000,12870,7130,8/10/2022,1,1300.00,411.00,395.00,806.00,395.00,790.00,1185.00,16161.00,Auction,11880.00,-4281.00,-3870.00,271.00,-0.26,-26.49,1,,,,,1,,,,,,,,,
1258,Construction,Loader,Construction_Equipment,Wheel Loaders,2015,Caterpillar,CATERPILLAR,950M,950M,3167,,IronPlanet,,,"Fargo, ND",11/20/2021,72540.00,,,,110000,72540,37460,1/26/2022,,4900.00,6885.00,1869.13,8754.13,3186.00,,3186.00,89380.13,Auction,172044.00,82663.87,89548.87,67.00,0.92,92.49,1,1,,,,,,,,,,,,,
1259,Construction,Crawler Dumper,Construction_Equipment,Crawler Carriers,2015,Prinoth,PRINOTH,Panther T8,PANTHER T8,2597,,,,,"Fargo, ND",11/1/2021,47540.00,,,,,47540,  ,7/13/2022,,2650.00,   ,,,938.00,,938.00,51128.00,Auction,50652.00,-476.00,-476.00,254.00,-0.01,-0.93,1,,,,,,,,1,,,,,,
1262,Construction,Crawler Dumper,Construction_Equipment,Crawler Carriers,2015,Morooka,,MST1500VD,,1136,,,,,"Fargo, ND",11/15/2021,57540.00,,,,,57540,  ,,1,3800.00,   ,152.56,152.56,,1116.00,1116.00,62608.56,,,,,,,,1,,,,,,,1,,,,,Ask Bunde,,
1263,Construction,Crawler Dumper,Construction_Equipment,Crawler Carriers,2015,Prinoth,PRINOTH,Panther T12,PANTHER T12,2997,,IronPlanet,,,"Fargo, ND",11/15/2021,54540.00,,,,1,54540,-54539,2/3/2022,1,3950.00,1548.00,14.64,1562.64,,1120.00,1120.00,61172.64,Retail,66000.00,4827.36,6375.36,80.00,0.08,7.89,1,,,,,,,,1,,,,,,
1272,Others,Container,Other_Items,Shipping Containers,,,UNKNOWN,40' Shipping Container,40' CONTAINER,,,,,,"Fargo, ND",11/12/2021,2530.00,,,,5000,2530,2470,,,1900.00,  ,,,,,,4430.00,,  ,,,,,,1,,,,,1,,,,,,,ASSET,,
1273,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,1996,Challenger,CATERPILLAR,CH55,CH55,,,IronPlanet,,,"Hurricane Mills, TN",2/1/2022,10450.00,,,,15000,10450,4550,3/2/2022,,1700.00,423.00,250.00,673.00,395.00,,395.00,13218.00,Auction,13932.00,714.00,1137.00,29.00,0.05,5.40,1,,,,,,1,,,,,,,,
1275,Agriculture,Spreader,Agricultural_Equipment,Chemical Applicators - Fertilizer Applicators - Dry,2012,Rogator,ROGATOR,RG1100,RG1100,2600,3,Liberty Mutual Insurance,,,"Fargo, ND",12/15/2021,16000.00,,,,45000,16000,29000,3/9/2022,,4200.00,300.00,128.47,428.47,495.00,,495.00,21123.47,Auction,25704.00,4580.53,4880.53,84.00,0.22,21.68,1,1,,,,,,,,,,,,,
1276,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,New Holland,NEW HOLLAND,TV140,TV140,8225,,,,,"Fargo, ND",11/8/2021,14586.00,,,,1,14586,-14585,3/10/2022,,2000.00,1817.28,  ,1817.28,,,,18403.28,Retail,27500.00,9096.72,10914.00,122.00,0.49,49.43,,,,,,,,,,,,,,,
1284,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2006,Ag-Chem,AG-CHEM,TG8103,TERRAGATOR 8103,4200,,Del Peterson,,,"Fargo, ND",12/1/2021,7992.00,,,,15000,7992,7008,2/2/2022,,1100.00,500.00,316.12,816.12,495.00,,495.00,10403.12,Auction,17928.00,7524.88,8024.88,63.00,0.72,72.33,1,1,,,,,,,,,,,,,
1290,Construction,Loader,Construction_Equipment,Wheel Loaders,2012,Volvo,VOLVO,L250G,L250G,11306,3,,,,"Fargo, ND",11/17/2021,15510.00,,,,75000,15510,59490,4/20/2022,,15000.00,7317.00,3000.02,10317.02,964.00,,964.00,41791.02,Auction,52056.00,10264.98,17581.98,154.00,0.25,24.56,1,,,,,1,,,,,,,,,
1291,Construction,Loader,Construction_Equipment,Wheel Loaders,2014,Volvo,VOLVO,L250H,L250H,,3,IronPlanet,,,"Fargo, ND",11/17/2021,17600.00,,,,75000,17600,57400,3/24/2022,,15000.00,   ,,,595.00,,595.00,33195.00,Auction,31860.00,-1335.00,-1335.00,127.00,-0.04,-4.02,1,,,,,1,,,,,,,,,
1292,Construction,Dozer,Construction_Equipment,Dozers - Crawler,2008,Case,CASE,850L,850L,,3,IronPlanet,,,"Fargo, ND",1/1/2022,17600.00,,,,-12,17600,-17612,3/16/2022,,4900.00,470.00,,470.00,595.00,,595.00,23565.00,Auction,27000.00,3435.00,3905.00,74.00,0.15,14.58,1,,,,,,,,1,,,,,,
1293,Construction,Drill Rig,Construction_Equipment,Drills - Vertical,2018,Sandvik,SANDVIK,DX900i,DX900I,,3,,,,"Fargo, ND",1/11/2021,90310.00,,,,250000,90310,159690,7/20/2022,,8400.00,4585.50,333.44,4918.94,1842.00,,1842.00,105470.94,Auction,99468.00,-6002.94,-1417.44,555.00,-0.06,-5.69,1,,,,,,,,1,,,,,,
1294,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,1998,Case IH,CASE IH,7220,7220,11817,,Loup Machinery,,,"Hurricane Mills, TN",2/15/2022,24500.00,,,,35000,24500,10500,3/2/2022,,1302.00,1000.00,500.00,1500.00,595.00,,595.00,27897.00,Auction,33696.00,5799.00,6799.00,15.00,0.21,20.79,2,,,,,,1,1,,,,,,,
1295,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,1997,Case IH,CASE IH,7210,7210,7600,,,,,"Hurricane Mills, TN",11/18/2021,24500.00,,,,,24500,  ,4/11/2022,1,1302.00,1000.00,500.00,1500.00,,495.00,495.00,27797.00,Retail,35000.00,7203.00,8203.00,144.00,0.26,25.91,2,,,,,,1,1,,,,,,,
1303,Agriculture,Cotton Stripper,Agricultural_Equipment,Harvesters - Cotton Pickers/Strippers,2018,John Deere,JOHN DEERE,CS690,CS690,,3,Liberty Mutual Insurance,Perryton,TX,Off-Site,12/10/2021,102100.00,,,,150000,102100,47900,2/1/2022,,,   ,1000.00,1000.00,2604.00,,2604.00,105704.00,Auction,140616.00,34912.00,34912.00,53.00,0.33,33.03,1,,,,,,,,1,,,,,,
1304,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2012,Terragator,TERRAGATOR,TG8400,TG8400,3896,,Sullivan Auctioneers,Willmar,MN,"Fargo, ND",12/3/2021,32000.00,,,,45000,32000,13000,2/2/2022,,1000.00,1600.00,850.00,2450.00,706.00,,706.00,36156.00,Auction,38124.00,1968.00,3568.00,61.00,0.05,5.44,2,,,,,,1,1,,,,,,,
1305,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2013,Terragator,TERRAGATOR,TG8400,TG8400,3471,,Sullivan Auctioneers,Willmar,MN,"Fargo, ND",12/3/2021,32500.00,,,,50000,32500,17500,2/23/2022,,1000.00,269.00,65.24,334.24,724.00,,724.00,34558.24,Auction,39096.00,4537.76,4806.76,82.00,0.13,13.13,2,,,,,,1,1,,,,,,,
1306,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2015,Terragator,TERRAGATOR,TG8300B,TG8300B,2922,,Sullivan Auctioneers,New Hampton,IA,"Fargo, ND",12/3/2021,37500.00,,,,55000,37500,17500,2/16/2022,,1300.00,2327.00,1375.86,3702.86,810.00,,810.00,43312.86,Auction,40500.00,-2812.86,-485.86,75.00,-0.06,-6.49,2,,,,,,1,1,,,,,,,
1307,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2015,Terragator,TERRAGATOR,TG9300B,TG9300B,2284,,Sullivan Auctioneers,Willmar,MN,"Fargo, ND",12/3/2021,51000.00,,,,,51000,  ,2/23/2022,,1000.00,639.00,1038.35,1677.35,1010.00,,1010.00,54687.35,Auction,54540.00,-147.35,491.65,82.00,0.00,-0.27,2,,,,,,1,1,,,,,,,
1308,Agriculture,Chopper,Agricultural_Equipment,Harvesters - Forage - Self-Propelled,2008,Krone,KRONE,Big X 800,Big X 800,3490,,Dakota Line Sales,,,"Fargo, ND",12/2/2021,25535.00,,,,,25535,  ,2/23/2022,,500.00,3811.00,4989.96,8800.96,595.00,,595.00,35430.96,Auction,30456.00,-4974.96,-1163.96,83.00,-0.14,-14.04,1,,,,,,,1,,,,,,,
1309,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2013,Krone,KRONE,Easy Collect 753,Easy Collect 753,,,Dakota Line Sales,,,"Fargo, ND",12/2/2021,10000.00,,,,,10000,  ,2/23/2022,,500.00,383.00,,383.00,495.00,,495.00,11378.00,Auction,19656.00,8278.00,8661.00,83.00,0.73,72.75,1,,,,,,,1,,,,,,,
1310,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,2005,New Holland,NEW HOLLAND,TM190,TM190,,,Rebel Auction (EF),Lydia,SC,"Hurricane Mills, TN",12/7/2021,26487.50,,,,37000,26487.5,10512.5,1/26/2022,,1400.00,1000.00,1800.00,2800.00,786.00,,786.00,31473.50,Auction,42444.00,10970.50,11970.50,50.00,0.35,34.86,2,,,,,,1,1,,,,,,,
1311,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,,John Deere,JOHN DEERE,4700,4700,,,,,,"Fargo, ND",12/7/2021,25462.50,,,,,25462.5,  ,9/15/2022,1,6400.00,3175.32,828.32,4003.64,495.00,1090.00,1585.00,37451.14,Auction,26352.00,-11099.14,-7923.82,282.00,-0.30,-29.64,2,,,,,,1,1,,,,,,,
1313,Construction,Dozer,Construction_Equipment,Dozers - Crawler,2010,Deere,DEERE,764HSD,764HSD,8720,,,,,"Fargo, ND",12/8/2021,69540.00,,,,85000,69540,15460,12/28/2021,,4000.00,  ,  ,,,,,73540.00,Retail,81000.00,7460.00,,20.00,0.10,10.14,,,,,,,,,,,,,,,
1314,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,1996,John Deere,JOHN DEERE,8300,8300,,,,,,"Fargo, ND",12/31/2021,30500.00,,,,,30500,  ,1/19/2022,,2700.00,435.00,991.62,1426.62,830.00,,830.00,35456.62,Auction,44820.00,9363.38,9798.38,19.00,0.26,26.41,1,,1,,,,,,,,,,,,
1315,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,2006,New Holland,NEW HOLLAND,TM175,TM175,,,WCTractor,,,"Hurricane Mills, TN",12/10/2021,26000.00,,,,35000,26000,9000,1/26/2022,,2500.00,1000.00,,1000.00,595.00,,595.00,30095.00,Auction,28944.00,-1151.00,-151.00,47.00,-0.04,-3.82,1,,,,,,,,,1,,,,,
1316,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2016,John Deere,JOHN DEERE,770 Forage Header,770,,,,,,"Fargo, ND",1/15/2022,20900.00,,,,,20900,  ,2/9/2022,,1500.00,100.00,50.00,150.00,495.00,,495.00,23045.00,Auction,23760.00,715.00,815.00,25.00,0.03,3.10,1,,,,,,,1,,,,,,,
1317,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2016,Claas,CLAAS,Orbis 750,ORBIS 750,,,Purple Wave,,,"Fargo, ND",12/9/2021,20900.00,,,,35000,20900,14100,2/9/2022,,1400.00,25.00,50.00,75.00,495.00,,495.00,22870.00,Auction,24516.00,1646.00,1671.00,62.00,0.07,7.20,1,,,,,,,1,,,,,,,
1318,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2014,Claas,CLAAS,Orbis 750,ORBIS 750 PRO,,,,,,"Fargo, ND",12/9/2021,16150.00,,,,,16150,  ,9/14/2022,2,1400.00,25.00,50.00,75.00,395.00,990.00,1385.00,19010.00,Auction,15228.00,-3782.00,-3757.00,279.00,-0.20,-19.89,2,,,,,,1,1,,,,,,,
1319,Agriculture,Chopper,Agricultural_Equipment,Harvesters - Forage - Self-Propelled,2008,John Deere,JOHN DEERE,7850 ProDrive,7850,,,Ritchie Bros,,,"Fargo, ND",12/14/2021,45000.00,,,,70000,45000,25000,2/4/2022,,1500.00,456.75,500.00,956.75,1275.00,,1275.00,48731.75,Retail,70000.00,21268.25,21725.00,52.00,0.44,43.64,2,,,,,,1,1,,,,,,,
1320,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2014,John Deere,JOHN DEERE,770 Forage Header,770,,,,Saskatoon,"SK, Canada","Fargo, ND",2/2/2022,12282.51,,,,25000,12282.51,12717.49,2/4/2022,,1500.00,   ,,,395.00,,395.00,14177.51,Retail,25000.00,10822.49,10822.49,2.00,0.76,76.34,2,,,,,,1,1,,,,,,,
1322,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Platform,2015,John Deere,JOHN DEERE,640FD,640FD,,,Ritchie Bros,,,"Fargo, ND",12/8/2021,32189.00,,,,45000,32189,12811,1/26/2022,,1900.00,   ,78.52,78.52,1114.00,,1114.00,35281.52,Auction,60156.00,24874.48,24874.48,49.00,0.71,70.50,2,,,,,,1,1,,,,,,,
1323,Construction,Telehandler,Construction_Equipment,Lifts - Telehandlers,2004,Manitou,MANITOU,MLT940,MLT940,,,Ritchie Bros,Lincoln,NE,"Fargo, ND",1/25/2022,24200.00,,,,35000,24200,10800,1/20/2022,,1500.00,354.22,40.62,394.84,,,,26094.84,Retail,32000.00,5905.16,6259.38,-5.00,0.23,22.63,1,,,,,,,1,,,,,,,
1324,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,John Deere,JOHN DEERE,7800,7800,,,Rebel Auction (EF),Hazelhurst,GA,"Hurricane Mills, TN",12/13/2021,17775.00,,,,25000,17775,7225,1/26/2022,,1000.00,1000.00,500.00,1500.00,495.00,,495.00,20770.00,Auction,21600.00,830.00,1830.00,44.00,0.04,4.00,1,,,,,,,,1,,,,,,
1326,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,1999,John Deere,JOHN DEERE,4700,4700,,,Ritchie Bros,,,"Fargo, ND",12/15/2021,21700.00,,,,35000,21700,13300,1/26/2022,,2500.00,600.00,90.00,690.00,595.00,,595.00,25485.00,Auction,32076.00,6591.00,7191.00,42.00,0.26,25.86,2,,,,,,1,1,,,,,,,
1327,Construction,Telehandler,Construction_Equipment,Lifts - Telehandlers,2012,JCB,JCB,527-55,527-55,,,Ritchie Bros,,,"Fargo, ND",12/10/2021,15200.00,,,,25000,15200,9800,3/16/2022,,2500.00,379.00,5.99,384.99,495.00,,495.00,18579.99,Auction,21708.00,3128.01,3507.01,96.00,0.17,16.84,2,,,,,,1,1,,,,,,,
1328,Agriculture,Tractor,Agricultural_Equipment,Tractors - 40 HP to 99 HP,,John Deere,JOHN DEERE,2955,2955,,,Rebel Auction (EF),Hazelhurst,GA,"Hurricane Mills, TN",12/13/2021,8293.75,,,,12000,8293.75,3706.25,1/26/2022,,700.00,1000.00,,1000.00,395.00,,395.00,10388.75,Auction,15552.00,5163.25,6163.25,44.00,0.50,49.70,1,,,,,,,,1,,,,,,
1330,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,New Holland,NEW HOLLAND,130A,TS130A,,,Rebel Auction (EF),Hazelhurst,GA,"Hurricane Mills, TN",12/13/2021,27100.00,,,,35000,27100,7900,1/26/2022,,1000.00,1000.00,,1000.00,780.00,,780.00,29880.00,Auction,42120.00,12240.00,13240.00,44.00,0.41,40.96,1,,,,,,,,1,,,,,,
1332,Trucks,Heavy Duty,Trucks,Heavy Duty Trucks - Winch / Oil Field Trucks,1994,Oshkosh,OSHKOSH,M1070 HET,M1070,,,IronPlanet,,,"Fargo, ND",12/9/2021,25100.00,,,,,25100,  ,3/25/2022,,5000.00,   ,,,,,,30100.00,Retail,40000.00,9900.00,9900.00,106.00,0.33,32.89,1,,,,,,,,1,,,,,,
1333,Others,Tires,,,,Michelin,,16R20,,,,,,,"Fargo, ND",12/10/2021,3100.00,,,,,3100,  ,,,1500.00,  ,,,,,,4600.00,,  ,,,,,,1,,,,,,,,1,,,,PARTS,,
1334,Construction,Scraper,Construction_Equipment,Scrapers - Pull,2011,Deere,DEERE,1812C,1812C,,,,Port Sulphur,LA,"Hurricane Mills, TN",12/30/2021,18100.00,,,,25000,18100,6900,1/26/2022,,4697.50,1000.00,,1000.00,495.00,,495.00,24292.50,Auction,22788.00,-1504.50,-504.50,27.00,-0.06,-6.19,1,,,,,,,,1,,,,,,
1335,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,John Deere,JOHN DEERE,8200,8200,11745,,Worldnet Auctions LLC,,,"Hurricane Mills, TN",12/10/2021,34720.00,,,,40000,34720,5280,1/26/2022,,2100.00,1000.00,,1000.00,706.00,,706.00,38526.00,Auction,38124.00,-402.00,598.00,47.00,-0.01,-1.04,1,,1,,,,,,,,,,,,
1336,Agriculture,Tractor,Agricultural_Equipment,Tractors - 300 HP or Greater,2004,John Deere,JOHN DEERE,9520,9520,,3,Ritchie Bros,Los Angeles,CA,"Fargo, ND",12/17/2021,41540.00,,,,60000,41540,18460,2/15/2022,,10720.00,400.00,1015.98,1415.98,   ,,,53675.98,Retail,60000.00,6324.02,6724.02,60.00,0.12,11.78,1,,,,,,,,1,,,,,,
1337,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,Case IH,CASE IH,MX240,MX240,,3,IronPlanet,,,"Fargo, ND",12/16/2021,13200.00,,,,24000,13200,10800,3/16/2022,,3340.00,2389.00,,2389.00,495.00,,495.00,19424.00,Auction,17496.00,-1928.00,461.00,90.00,-0.10,-9.93,1,,,,,,,,1,,,,,,
1338,Construction,Loader,Construction_Equipment,Wheel Loaders,2004,Mase,CASE,521D,521D,5307,,Ritchie Bros,,,"Fargo, ND",12/20/2021,26200.00,,,,40000,26200,13800,2/9/2022,,4000.00,1868.00,250.00,2118.00,792.00,,792.00,33110.00,Auction,42768.00,9658.00,11526.00,51.00,0.29,29.17,2,,,,,,1,1,,,,,,,
1339,Construction,Loader,Construction_Equipment,Wheel Loaders,2002,Caterpillar,CATERPILLAR,924G,924G,11964,,Ritchie Bros,,,"Hurricane Mills, TN",12/20/2021,24200.00,,,,40000,24200,15800,1/26/2022,,1700.00,1000.00,,1000.00,595.00,,595.00,27495.00,Auction,32184.00,4689.00,5689.00,37.00,0.17,17.05,2,,,,,,1,1,,,,,,,
1340,Construction,Loader,Construction_Equipment,Wheel Loaders,2015,Caterpillar,CATERPILLAR,950K,950K,17064,,56 Truck & Equipment,,,"Fargo, ND",12/16/2021,58000.00,,,,70000,58000,12000,2/2/2022,,2200.00,1404.00,1800.00,3204.00,1602.00,,1602.00,65006.00,Auction,86508.00,21502.00,22906.00,48.00,0.33,33.08,1,,,,,1,,,,,,,,,
1341,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Row Crop,2013,Geringhoff,GERINGHOFF,RD1200B,RD1200B,,,Ritchie Bros,,,"Fargo, ND",12/16/2021,24758.39,,,,30000,24758.39,5241.61,2/9/2022,,1500.00,   ,,,495.00,,495.00,26753.39,Auction,24624.00,-2129.39,-2129.39,55.00,-0.08,-7.96,2,,,,,,1,1,,,,,,,
1342,Construction,Telehandler,Construction_Equipment,Lifts - Telehandlers,2014,JLG,JLG,G12-55A,G12-55A,5000,,Steffes,,,"Fargo, ND",12/21/2021,30500.00,,,,60000,30500,29500,2/16/2022,,1200.00,882.00,1294.56,2176.56,1200.96,,1200.96,35077.52,Auction,60048.00,24970.48,25852.48,57.00,0.71,71.19,2,,,,,,1,1,,,,,,,
1343,Construction,Loader,Construction_Equipment,Wheel Loaders,2013,Caterpillar,CATERPILLAR,924K,924K,11335,,Clark Heavy Equipment,,,"Hurricane Mills, TN",12/22/2021,29100.00,,,,50000,29100,20900,1/26/2022,,1400.00,1000.00,200.00,1200.00,595.00,,595.00,32295.00,Auction,33588.00,1293.00,2293.00,35.00,0.04,4.00,1,,,,,,,,1,,,,,,
