Stocks,Category,MachineType,InventoryTypeSH,CategorySH,Year,Make,ManufacturerSH,Model,ModelSH,Hours,Condition,Seller,PurchCity,PurchState,DaggerLocation,DatePurchased,PurchPrice, EstFreight , EstLabor , EstParts , EstSalePrice , EstTotalCost , EstProfit ,DateSold,Buyback, Freight , Labor , Parts , TotalRepairCost , ListingFees , BuybackFee ,TotalFees, TotalCOGS ,SaleType, SalePrice ,Profit,ProfitNoLabor,Turnover,ROI,Collab,Jared,Dustin,Quinn,Nash,Gifford,Bunde,Chris,Ethan,Wes,Korey,(Numbers added since switching back to individual),Notes,AuctionEnd,ClosingTime,
1116,Agriculture,Haystacker,Trailers,Semi-Trailers - Flatbed Trailers,2020,Stinger,STINGER,8500,8500,500,3,Ritchie Bros Salvage,,,"Fargo, ND",6/26/2021,"$112,420.00 ",,,," $250,000.00 "," $112,420.00 "," $137,580.00 ",2/2/2022,0,"$9,300.00 "," $40,268.00 ","$43,616.83","$83,884.83 ","$4,130.00 ",,"$4,130.00 ","$209,734.83",Auction," $223,020.00 ","$13,285.17 ","$53,553.17 ",221,6.33%,2,1,,,,,,,1,,,,?,,,
1123,Agriculture,Tractor,,,,Case IH,,9250,,7195,,,,,"Fargo, ND",5/5/2021,"$24,750.00 ",,,,," $24,750.00 ",  ,12/29/2021,,$0.00 ,  ,,$0.00 ,,,,"$24,750.00",,  ,,,238,,2,,,,,,1,1,,,,,?,,,
1144,Construction,Forklift,Construction_Equipment,Lifts - Forklifts - Pneumatic Tire,,Caterpillar,CATERPILLAR,P33000,P33000,,,,,,"Fargo, ND",8/11/2021,"$21,700.00 ",,,,," $21,700.00 ",  ,,,"$4,300.00 ",  ,,$0.00 ,,,,"$26,000.00",,  ,,,,,1,,,,,,,,1,,,,ASSET,,,
1161,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2017,Claas,CLAAS,Orbis 750,ORBIS 750,,,,,,"Fargo, ND",9/7/2021,"$30,800.00 ",,,,," $30,800.00 ",  ,7/20/2022,1,$687.50 , $124.50 ,"$1,463.32","$1,587.82 ",595, $595.00 ,"$1,190.00 ","$34,265.32",Auction," $32,400.00 ","($1,865.32)","($1,740.82)",316,-5.44%,1,,,,,,,1,`,,,,?,,,
1163,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2017,Claas,CLAAS,Orbis 900,ORBIS 900,,,,,,"Fargo, ND",9/6/2021,"$28,050.00 ",,,,," $28,050.00 ",  ,7/20/2022,0,$687.50 , $427.50 ,"$1,463.32","$1,890.82 ",706,,$706.00 ,"$31,334.32",Auction," $38,124.00 ","$6,789.68 ","$7,217.18 ",317,21.67%,1,,,,,,,1,,,,,,,,
1165,Agriculture,Tractor,Agricultural_Equipment,Tractors - 300 HP or Greater,1998,John Deere,JOHN DEERE,9200,9200,,,,,,"Fargo, ND",10/14/2021,"$19,800.00 ",,,," $25,272.00 "," $19,800.00 "," $5,472.00 ",3/2/2022,0,"$5,689.30 ", $692.00 ,$500.00,"$1,192.00 ",$495.00 ,,$495.00 ,"$27,176.30",Auction," $25,272.00 ","($1,904.30)","($1,212.30)",139,-7.01%,1,,,,,,1,,,,,,,,,
1173,Construction,Scissor Lift,Construction_Equipment,Lifts - Scissor Lifts - Slab,2013,Skyjack,SKYJACK,SJIII 4626,SJIII4626,,,,,,"Fargo, ND",9/2/2021,"$3,960.00 ",,,," $6,000.00 "," $3,960.00 "," $2,040.00 ",,,"$1,200.00 ",  ,,$0.00 ,,,,"$5,160.00",,  ,,,,,1,,,,,1,,,,,,,ASSET,,,
1175,Construction,Crawler Dumper,Construction_Equipment,Crawler Carriers,2017,Prinoth,PRINOTH,Panther T12,PANTHER T12,,3,,,,"Fargo, ND",9/25/2021,"$47,302.20 ",,,," $100,000.00 "," $47,302.20 "," $52,697.80 ",3/23/2022,0,"$5,800.00 "," $1,573.00 ","$3,711.66","$5,284.66 ",$958.00 ,,$958.00 ,"$59,344.86",Auction," $51,732.00 ","($7,612.86)","($6,039.86)",179,-12.83%,2,1,,,,,,,1,,,,,,,
1188,Construction,Skidsteer,Construction_Equipment,Skid Steers - Track,2019,Caterpillar,CATERPILLAR,298D,289D,,,Ritchie Bros,,,"Fargo, ND",9/8/2021,"$29,971.00 ",,,," $40,000.00 "," $29,971.00 "," $10,029.00 ",2/23/2022,0,$950.00 , $435.00 ,"$1,472.61","$1,907.61 ","$1,072.00 ",,"$1,072.00 ","$33,900.61",Auction," $57,888.00 ","$23,987.39 ","$24,422.39 ",168,70.76%,1,,,,,,,1,,,,,,,,
1189,Construction,Boom Lift,Construction_Equipment,Lifts - Boom Lifts - Articulating,2019,JLG,JLG,800A,800A,195,3,,,,"Fargo, ND",9/20/2021,"$15,126.00 ",,,," $45,000.00 "," $15,126.00 "," $29,874.00 ",,1," $6,500.00 ",  ,,$0.00 ,,295,$295.00 ,"$21,921.00",,  ,,,,,1,1,,,,,,,,,,,ASSET,,,
1190,Construction,Sweeper,,,2013,Tennant,,T20,,,,,,,"Fargo, ND",10/5/2021,"$5,500.00 ",,,,," $5,500.00 ",  ,,, $300.00 ,  ,,$0.00 ,,,,"$5,800.00",,  ,,,,,1,,,,,,,,1,,,,ASSET,,,
