Stocks,Category,MachineType,InventoryTypeSH,CategorySH,Year,Make,ManufacturerSH,Model,ModelSH,Hours,Condition,Seller,PurchCity,PurchState,DaggerLocation,DatePurchased,PurchPrice, EstFreight , EstLabor , EstParts , EstSalePrice , EstTotalCost , EstProfit ,DateSold,Buyback, Freight , Labor , Parts , TotalRepairCost , ListingFees , BuybackFee ,TotalFees, TotalCOGS ,SaleType, SalePrice ,Profit,ProfitNoLabor,Turnover,ROI,Collab,Jared,Dustin,Quinn,Nash,Gifford,Bunde,Chris,Ethan,Wes,Korey,(Numbers added since switching back to individual),Notes,AuctionEnd,ClosingTime
1116,Agriculture,Haystacker,Trailers,Semi-Trailers - Flatbed Trailers,2020,Stinger,STINGER,8500,8500,500,3,Ritchie Bros Salvage,,,"Fargo, ND",6/26/2021,112420,,,,250000,112420,137580,2/2/2022,,9300,40268,43616.83,83884.83,4130,,4130,209734.83,Auction,223020,13285.17,53553.17,221,6.33,2,1,,,,,,,1,,,,?,,
1123,Agriculture,Tractor,,,,Case IH,,9250,,7195,,,,,"Fargo, ND",5/5/2021,24750,,,,,24750,  ,12/29/2021,,,  ,,,,,,24750,,  ,,,238,,2,,,,,,1,1,,,,,?,,
1144,Construction,Forklift,Construction_Equipment,Lifts - Forklifts - Pneumatic Tire,,Caterpillar,CATERPILLAR,P33000,P33000,,,,,,"Fargo, ND",8/11/2021,21700,,,,,21700,  ,,,4300,  ,,,,,,26000,,  ,,,,,1,,,,,,,,1,,,,ASSET,,
1161,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2017,Claas,CLAAS,Orbis 750,ORBIS 750,,,,,,"Fargo, ND",9/7/2021,30800,,,,,30800,  ,7/20/2022,1,687.5,124.5,1463.32,1587.82,595,595,1190,34265.32,Auction,32400,-1865.32,-1740.82,316,-5.44,1,,,,,,,1,`,,,,?,,
1163,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2017,Claas,CLAAS,Orbis 900,ORBIS 900,,,,,,"Fargo, ND",9/6/2021,28050,,,,,28050,  ,7/20/2022,,687.5,427.5,1463.32,1890.82,706,,706,31334.32,Auction,38124,6789.68,7217.18,317,21.67,1,,,,,,,1,,,,,,,
1165,Agriculture,Tractor,Agricultural_Equipment,Tractors - 300 HP or Greater,1998,John Deere,JOHN DEERE,9200,9200,,,,,,"Fargo, ND",10/14/2021,19800,,,,25272,19800,5472,3/2/2022,,5689.3,692,500,1192,495,,495,27176.3,Auction,25272,-1904.3,-1212.3,139,-7.01,1,,,,,,1,,,,,,,,
1173,Construction,Scissor Lift,Construction_Equipment,Lifts - Scissor Lifts - Slab,2013,Skyjack,SKYJACK,SJIII 4626,SJIII4626,,,,,,"Fargo, ND",9/2/2021,3960,,,,6000,3960,2040,,,1200,  ,,,,,,5160,,  ,,,,,1,,,,,1,,,,,,,ASSET,,
1175,Construction,Crawler Dumper,Construction_Equipment,Crawler Carriers,2017,Prinoth,PRINOTH,Panther T12,PANTHER T12,,3,,,,"Fargo, ND",9/25/2021,47302.2,,,,100000,47302.2,52697.8,3/23/2022,,5800,1573,3711.66,5284.66,958,,958,59344.86,Auction,51732,-7612.86,-6039.86,179,-12.83,2,1,,,,,,,1,,,,,,
1188,Construction,Skidsteer,Construction_Equipment,Skid Steers - Track,2019,Caterpillar,CATERPILLAR,298D,289D,,,Ritchie Bros,,,"Fargo, ND",9/8/2021,29971,,,,40000,29971,10029,2/23/2022,,950,435,1472.61,1907.61,1072,,1072,33900.61,Auction,57888,23987.39,24422.39,168,70.76,1,,,,,,,1,,,,,,,
1189,Construction,Boom Lift,Construction_Equipment,Lifts - Boom Lifts - Articulating,2019,JLG,JLG,800A,800A,195,3,,,,"Fargo, ND",9/20/2021,15126,,,,45000,15126,29874,,1,6500,  ,,,,295,295,21921,,  ,,,,,1,1,,,,,,,,,,,ASSET,,
