Date,Open,High,Low,Close
8/30/94,"3,898.90","3,920.87","3,888.49","3,917.30"
8/31/94,"3,917.30","3,939.32","3,906.95","3,913.42"
9/1/94,"3,913.10","3,913.10","3,887.52","3,901.44"
9/2/94,"3,901.40","3,919.89","3,880.40","3,885.58"
9/6/94,"3,885.60","3,898.70","3,877.17","3,898.70"
9/7/94,"3,898.70","3,903.41","3,881.54","3,886.25"
9/8/94,"3,886.30","3,911.15","3,882.89","3,908.46"
9/9/94,"3,907.78","3,907.78","3,858.33","3,874.81"
9/12/94,"3,874.80","3,880.53","3,859.00","3,860.34"
9/13/94,"3,861.02","3,992.64","3,861.02","3,879.86"
9/14/94,"3,879.90","3,900.72","3,869.09","3,895.33"
9/15/94,"3,895.30","3,953.88","3,894.33","3,953.88"
9/16/94,"3,953.50","3,953.54","3,912.83","3,933.35"
9/19/94,"3,933.40","3,953.20","3,928.31","3,936.72"
9/20/94,"3,936.38","3,936.38","3,869.09","3,869.09"
9/21/94,"3,869.10","3,876.16","3,821.65","3,851.60"
9/22/94,"3,851.60","3,864.72","3,832.76","3,837.13"
9/23/94,"3,837.10","3,851.26","3,820.31","3,831.75"
9/26/94,"3,831.80","3,849.91","3,826.36","3,849.24"
9/27/94,"3,849.20","3,871.78","3,844.87","3,863.04"
9/28/94,"3,863.04","3,890.96","3,863.04","3,878.18"
9/29/94,"3,878.18","3,878.18","3,847.90","3,854.63"
9/30/94,"3,854.60","3,875.82","3,838.81","3,843.19"
10/3/94,"3,843.20","3,852.27","3,826.36","3,846.89"
10/4/94,"3,846.90","3,858.33","3,794.07","3,801.13"
10/5/94,"3,801.10","3,802.14","3,747.97","3,787.34"
10/6/94,"3,787.30","3,795.07","3,768.16","3,775.56"
10/7/94,"3,775.60","3,802.81","3,769.17","3,797.43"
10/10/94,"3,798.10","3,825.35","3,798.10","3,821.32"
10/11/94,"3,821.32","3,882.55","3,821.32","3,876.83"
10/12/94,"3,876.80","3,887.26","3,862.03","3,875.15"
10/13/94,"3,876.83","3,927.63","3,876.83","3,889.95"
10/14/94,"3,889.90","3,912.16","3,878.51","3,910.47"
10/17/94,"3,910.50","3,934.03","3,901.05","3,923.93"
10/18/94,"3,923.90","3,927.97","3,903.75","3,917.54"
10/19/94,"3,917.50","3,949.84","3,901.05","3,936.04"
10/20/94,"3,936.00","3,942.10","3,894.66","3,911.15"
10/21/94,"3,911.10","3,911.15","3,883.90","3,891.30"
10/24/94,"3,891.30","3,911.48","3,853.62","3,855.30"
10/25/94,"3,855.30","3,863.04","3,832.42","3,850.59"
10/26/94,"3,850.60","3,870.10","3,837.47","3,848.23"
10/27/94,"3,848.91","3,875.15","3,848.91","3,875.15"
10/28/94,"3,875.10","3,931.67","3,873.47","3,930.66"
10/31/94,"3,930.70","3,937.05","3,907.78","3,908.12"
11/1/94,"3,907.78","3,907.78","3,858.33","3,863.37"
11/2/94,"3,863.40","3,875.15","3,837.13","3,837.13"
11/3/94,"3,837.10","3,853.62","3,833.43","3,845.88"
11/4/94,"3,845.90","3,865.05","3,807.52","3,807.52"
11/7/94,"3,807.50","3,819.30","3,798.10","3,808.87"
11/8/94,"3,808.90","3,846.55","3,808.87","3,830.74"
11/9/94,"3,810.60","3,868.80","3,810.55","3,831.75"
11/10/94,"3,831.80","3,858.66","3,814.92","3,821.99"
11/11/94,"3,821.65","3,821.65","3,795.41","3,801.47"
11/14/94,"3,801.50","3,833.43","3,800.46","3,829.73"
11/15/94,"3,829.70","3,856.31","3,807.86","3,826.36"
11/16/94,"3,826.40","3,845.54","3,820.31","3,845.20"
11/17/94,"3,845.20","3,849.58","3,808.53","3,828.05"
11/18/94,"3,828.05","3,828.05","3,784.98","3,815.26"
11/21/94,"3,815.30","3,833.43","3,763.45","3,769.51"
11/22/94,"3,769.50","3,770.18","3,677.99","3,677.99"
11/23/94,"3,678.00","3,685.73","3,638.63","3,674.63"
11/25/94,"3,674.60","3,713.32","3,673.96","3,708.27"
11/28/94,"3,708.30","3,741.92","3,707.94","3,739.56"
11/29/94,"3,739.60","3,742.93","3,717.69","3,738.55"
11/30/94,"3,738.60","3,763.11","3,731.15","3,739.23"
12/1/94,"3,739.20","3,743.26","3,690.44","3,700.87"
12/2/94,"3,700.90","3,745.95","3,690.44","3,745.62"
12/5/94,"3,745.60","3,762.78","3,727.11","3,741.92"
12/6/94,"3,741.90","3,749.32","3,716.01","3,745.95"
12/7/94,"3,744.90","3,744.94","3,718.03","3,735.52"
12/8/94,"3,735.50","3,742.93","3,677.66","3,685.73"
12/9/94,"3,685.70","3,691.11","3,655.11","3,691.11"
12/12/94,"3,691.10","3,718.37","3,682.03","3,718.37"
12/13/94,"3,718.40","3,727.45","3,710.29","3,715.34"
12/14/94,"3,715.30","3,758.74","3,713.66","3,746.29"
12/15/94,"3,746.30","3,775.90","3,743.60","3,765.47"
12/16/94,"3,765.80","3,807.19","3,765.80","3,807.19"
12/19/94,"3,806.85","3,806.85","3,780.94","3,790.70"
12/20/94,"3,790.70","3,791.04","3,767.15","3,767.15"
12/21/94,"3,768.20","3,817.95","3,768.16","3,801.80"
12/22/94,"3,801.80","3,829.06","3,800.79","3,814.92"
12/23/94,"3,814.90","3,846.89","3,812.57","3,833.43"
