stardDateTime,startDate,startTime,endDateTime,endDate,endTime,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2021-10-10 11:18PM,2021-10-10,11:18PM,2021-10-11 6:56AM,2021-10-11,6:56AM,399,59,36,458,73,279,47
2021-10-10 3:23AM,2021-10-10,3:23AM,2021-10-10 12:21PM,2021-10-10,12:21PM,477,61,36,538,133,243,101
2021-10-11 11:26PM,2021-10-11,11:26PM,2021-10-12 7:14AM,2021-10-12,7:14AM,423,44,27,467,118,213,92
2021-10-12 11:46PM,2021-10-12,11:46PM,2021-10-13 4:49AM,2021-10-13,4:49AM,258,45,18,303,50,155,53
2021-10-14 3:21AM,2021-10-14,3:21AM,2021-10-14 8:56AM,2021-10-14,8:56AM,269,66,22,335,25,171,73
2021-10-15 12:55AM,2021-10-15,12:55AM,2021-10-15 7:26AM,2021-10-15,7:26AM,362,29,21,391,90,166,106
2021-10-16 4:54AM,2021-10-16,4:54AM,2021-10-16 10:58AM,2021-10-16,10:58AM,325,38,22,363,65,197,63
2021-10-17 1:05AM,2021-10-17,1:05AM,2021-10-17 1:50PM,2021-10-17,1:50PM,691,74,40,765,166,403,122
2021-10-17 11:06PM,2021-10-17,11:06PM,2021-10-18 6:38AM,2021-10-18,6:38AM,393,59,32,452,85,231,77
2021-10-18 11:44PM,2021-10-18,11:44PM,2021-10-19 7:17AM,2021-10-19,7:17AM,398,55,19,453,80,235,83
2021-10-20 1:31AM,2021-10-20,1:31AM,2021-10-20 7:05AM,2021-10-20,7:05AM,294,40,16,334,73,149,72
2021-10-21 2:14AM,2021-10-21,2:14AM,2021-10-21 9:26AM,2021-10-21,9:26AM,390,41,20,431,109,196,85
2021-10-22 1:51AM,2021-10-22,1:51AM,2021-10-22 6:50AM,2021-10-22,6:50AM,261,38,18,299,38,178,45
2021-10-23 12:03AM,2021-10-23,12:03AM,2021-10-23 3:14AM,2021-10-23,3:14AM,174,17,6,191,23,110,41
2021-10-23 5:06AM,2021-10-23,5:06AM,2021-10-23 3:59PM,2021-10-23,3:59PM,572,81,44,653,134,344,94
2021-10-24 11:54PM,2021-10-24,11:54PM,2021-10-25 8:46AM,2021-10-25,8:46AM,476,56,38,532,165,248,63
2021-10-24 4:27AM,2021-10-24,4:27AM,2021-10-24 11:12AM,2021-10-24,11:12AM,374,31,21,405,108,208,58
2021-10-24 5:21PM,2021-10-24,5:21PM,2021-10-24 9:51PM,2021-10-24,9:51PM,224,46,20,270,27,155,42
2021-10-26 12:58AM,2021-10-26,12:58AM,2021-10-26 8:47AM,2021-10-26,8:47AM,419,50,31,469,94,259,66
2021-10-27 12:25AM,2021-10-27,12:25AM,2021-10-27 10:56AM,2021-10-27,10:56AM,570,61,46,631,169,284,117
2021-10-28 1:10AM,2021-10-28,1:10AM,2021-10-28 7:06AM,2021-10-28,7:06AM,320,35,22,355,86,166,68
2021-10-29 1:28AM,2021-10-29,1:28AM,2021-10-29 11:29AM,2021-10-29,11:29AM,534,67,30,601,164,286,84
2021-10-29 11:10PM,2021-10-29,11:10PM,2021-10-30 5:59AM,2021-10-30,5:59AM,372,36,29,408,119,197,56
2021-10-31 1:34AM,2021-10-31,1:34AM,2021-10-31 11:05AM,2021-10-31,11:05AM,511,60,26,571,119,276,116
2021-10-31 10:26PM,2021-10-31,10:26PM,2021-11-01 6:02AM,2021-11-01,6:02AM,392,64,29,456,72,271,49
2021-11-01 11:53PM,2021-11-01,11:53PM,2021-11-02 7:05AM,2021-11-02,7:05AM,384,48,24,432,86,234,64
2021-11-02 10:57PM,2021-11-02,10:57PM,2021-11-03 6:53AM,2021-11-03,6:53AM,403,73,26,476,76,279,48
2021-11-03 11:15PM,2021-11-03,11:15PM,2021-11-04 6:56AM,2021-11-04,6:56AM,407,54,23,461,129,219,59
2021-11-05 12:08AM,2021-11-05,12:08AM,2021-11-05 6:53AM,2021-11-05,6:53AM,363,42,21,405,78,236,49
2021-11-07 1:55AM,2021-11-07,1:55AM,2021-11-07 10:59AM,2021-11-07,10:59AM,486,58,16,544,118,240,128
2021-11-08 12:04AM,2021-11-08,12:04AM,2021-11-08 7:24AM,2021-11-08,7:24AM,385,55,26,440,87,203,95
2021-11-09 1:37AM,2021-11-09,1:37AM,2021-11-09 11:01AM,2021-11-09,11:01AM,502,62,35,564,112,302,88
2021-11-10 12:11AM,2021-11-10,12:11AM,2021-11-10 7:09AM,2021-11-10,7:09AM,382,36,27,418,110,201,71
2021-11-11 12:58AM,2021-11-11,12:58AM,2021-11-11 9:58AM,2021-11-11,9:58AM,468,72,35,540,113,272,83
2021-11-12 1:37AM,2021-11-12,1:37AM,2021-11-12 7:12AM,2021-11-12,7:12AM,292,42,20,334,62,175,55
2021-11-12 9:51AM,2021-11-12,9:51AM,2021-11-12 1:45PM,2021-11-12,1:45PM,210,24,14,234,52,117,41
2021-11-13 1:04AM,2021-11-13,1:04AM,2021-11-13 8:43AM,2021-11-13,8:43AM,407,52,29,459,101,260,46
2021-11-14 1:18AM,2021-11-14,1:18AM,2021-11-14 10:52AM,2021-11-14,10:52AM,497,77,34,574,121,270,106
2021-11-14 11:12PM,2021-11-14,11:12PM,2021-11-15 11:02AM,2021-11-15,11:02AM,627,83,46,710,138,382,107
2021-11-16 1:11AM,2021-11-16,1:11AM,2021-11-16 11:32AM,2021-11-16,11:32AM,551,70,45,621,167,280,104
2021-11-17 12:42AM,2021-11-17,12:42AM,2021-11-17 7:49AM,2021-11-17,7:49AM,379,48,32,427,85,238,56
2021-11-18 1:11AM,2021-11-18,1:11AM,2021-11-18 9:03AM,2021-11-18,9:03AM,415,57,34,472,106,214,95
2021-11-19 1:45AM,2021-11-19,1:45AM,2021-11-19 7:09AM,2021-11-19,7:09AM,291,32,17,323,88,149,54
2021-11-20 2:28AM,2021-11-20,2:28AM,2021-11-20 10:54AM,2021-11-20,10:54AM,450,56,32,506,117,253,80
2021-11-21 11:33PM,2021-11-21,11:33PM,2021-11-22 7:16AM,2021-11-22,7:16AM,399,64,26,463,90,226,83
2021-11-21 5:03AM,2021-11-21,5:03AM,2021-11-21 12:04PM,2021-11-21,12:04PM,374,47,21,421,81,238,55
2021-11-23 12:29AM,2021-11-23,12:29AM,2021-11-23 7:00AM,2021-11-23,7:00AM,337,54,29,391,67,243,27
2021-11-24 12:05AM,2021-11-24,12:05AM,2021-11-24 8:51AM,2021-11-24,8:51AM,473,53,30,526,100,305,68
2021-11-25 1:48AM,2021-11-25,1:48AM,2021-11-25 9:39AM,2021-11-25,9:39AM,429,42,27,471,107,256,66
2021-11-26 2:04AM,2021-11-26,2:04AM,2021-11-26 10:19AM,2021-11-26,10:19AM,415,80,28,495,83,266,66
2021-11-27 11:46PM,2021-11-27,11:46PM,2021-11-28 8:32AM,2021-11-28,8:32AM,477,49,32,526,135,235,107
2021-11-27 4:38AM,2021-11-27,4:38AM,2021-11-27 10:30AM,2021-11-27,10:30AM,299,53,19,352,52,178,69
2021-11-28 10:40PM,2021-11-28,10:40PM,2021-11-29 7:27AM,2021-11-29,7:27AM,490,37,28,527,153,263,74
