Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2020-04-06,"1,452",251,0.18,0,886,16,0,0,46
2020-04-07,"1,766","3,040",2.15,1,841,141,0,0,444
2020-04-08,"1,587","1,104",0.78,0,907,68,0,0,218
2020-04-09,"1,847","4,320",3.05,6,845,153,9,4,544
2020-04-10,"2,084","5,642",3.98,6,560,141,18,34,793
2020-04-11,"1,709","2,501",1.77,2,853,85,7,8,357
2020-04-12,"2,050","2,487",1.76,0,607,216,4,10,765
2020-04-13,"1,634","1,129",0.8,0,810,89,0,0,261
2020-04-14,"1,802","3,260",2.3,3,804,129,0,0,450
2020-04-15,"1,804","2,536",1.77,2,795,70,10,30,466
2020-04-16,"1,854","3,061",2.16,4,794,140,3,7,520
2020-04-17,"1,812","2,852",2.02,3,828,135,6,1,473
2020-04-18,"2,043","4,067",2.87,3,774,191,7,5,742
2020-04-19,"1,560",942,0.67,0,909,39,5,5,178
2020-04-20,"1,447",239,0.17,0,"1,017",17,0,0,46
2020-04-21,"2,176","4,163",2.94,5,646,254,0,0,896
2020-04-22,"3,214","13,872",9.79,19,521,448,75,52,"2,299"
2020-04-23,"1,909","5,489",3.88,7,757,189,0,0,636
2020-04-24,"1,840","4,801",3.27,8,809,119,4,9,508
2020-04-25,"2,150","10,959",7.74,13,701,195,44,7,936
2020-04-26,"2,059","8,171",5.77,9,802,191,35,5,820
2020-04-27,"1,821","3,979",2.81,5,716,122,10,13,507
2020-04-28,"1,747","2,802",1.98,4,913,123,0,0,397
2020-04-29,"2,500","8,307",5.81,6,539,177,66,52,"1,288"
2020-04-30,"1,909","3,366",2.35,4,896,148,11,7,575
2020-05-01,"2,040","4,366",3.07,3,696,191,13,8,752
2020-05-02,"2,136","6,141",4.21,14,793,207,1,21,873
2020-05-03,"2,217","6,272",4.29,7,685,222,17,20,983
2020-05-04,"2,192","6,825",4.72,8,689,266,11,13,"1,002"
2020-05-05,"1,592","1,144",0.81,2,859,85,0,0,223
2020-05-06,"1,728","3,250",2.29,1,846,142,0,0,404
2020-05-07,"1,757","2,688",1.9,5,837,160,0,0,445
2020-05-08,"2,024","9,286",6.56,7,689,125,44,25,757
2020-05-09,"1,905","3,358",2.37,5,653,205,0,0,623
2020-05-10,"2,380","9,344",6.64,12,733,260,29,33,"1,214"
2020-05-11,"2,108","7,021",4.96,10,695,333,0,0,969
2020-05-12,"1,844","2,777",1.96,4,798,192,0,0,552
2020-05-13,"1,715","1,443",1.02,2,830,114,0,0,340
2020-05-14,"2,198","6,514",4.6,5,666,204,28,22,959
2020-05-15,"2,125","3,701",2.61,3,791,194,16,17,838
2020-05-16,"2,081","4,842",3.32,4,648,212,5,17,834
2020-05-17,"2,067","5,281",3.73,9,628,255,0,0,860
2020-05-18,"1,747","2,571",1.82,3,868,159,0,0,434
2020-05-19,"1,873","5,420",3.83,5,816,118,25,5,546
2020-05-20,"1,771","1,535",1.08,2,"1,145",112,4,7,421
2020-05-21,"2,238","7,820",5.49,12,734,171,41,31,991
2020-05-22,"2,437","13,271",9.37,16,718,190,45,65,"1,264"
2020-05-23,"1,896","2,749",1.94,1,724,184,11,2,616
2020-05-24,"2,403","8,323",5.87,4,938,260,41,26,"1,202"
2020-05-25,"2,948","14,145",10,5,415,236,87,89,"1,894"
2020-05-26,"2,169","10,127",7.15,4,833,174,56,13,934
2020-05-27,"1,655","2,672",1.89,1,837,76,13,2,294
2020-05-28,"1,932","2,267",1.6,2,829,113,8,33,615
2020-05-29,"1,960","5,368",3.73,7,731,222,0,0,704
2020-05-30,"2,049","4,593",3.24,13,912,271,0,0,802
2020-05-31,"2,525","5,588",3.95,0,558,246,34,56,"1,376"
2020-06-01,"1,993","2,862",2.02,2,757,210,0,0,687
2020-06-02,"1,717","3,292",2.32,5,890,80,16,5,381
2020-06-03,"1,924","1,610",1.14,1,741,177,0,0,602
2020-06-04,"2,121","4,531",3.2,3,792,208,15,4,840
2020-06-05,"1,976","6,382",4.5,3,"1,264",135,31,10,665
2020-06-06,"2,813","11,550",8.14,27,663,421,23,38,"1,761"
2020-06-07,"2,392","7,022",4.92,24,701,321,17,12,"1,264"
2020-06-08,"1,752","2,560",1.8,6,856,95,3,13,414
2020-06-09,"1,555","2,209",1.56,4,"1,401",27,7,5,179
2020-06-10,"2,046","6,298",4.44,1,898,88,38,39,776
2020-06-11,"2,031","8,074",5.7,4,760,122,54,16,770
2020-06-12,"2,071","5,374",3.76,4,806,180,7,28,807
2020-06-13,"2,640","11,501",8.11,14,736,362,31,16,"1,554"
2020-06-14,"1,454",277,0.2,0,776,18,0,0,56
2020-06-15,"2,299","7,739",5.43,8,793,207,28,38,"1,083"
2020-06-16,"1,799","1,858",1.31,2,840,145,0,0,435
2020-06-17,"1,986","2,640",1.86,6,657,187,11,8,677
2020-06-18,"2,497","11,227",7.93,13,715,287,15,46,"1,368"
2020-06-19,"2,309","8,391",5.92,4,752,169,43,55,"1,108"
2020-06-20,"2,219","12,014",8.48,4,626,284,15,4,"1,067"
2020-06-21,"2,106","6,020",4.07,4,665,214,27,11,880
2020-06-22,"2,056","7,464",5.23,11,833,264,12,0,850
2020-06-23,"2,520","11,247",7.96,5,727,219,12,78,"1,346"
2020-06-24,"1,717","1,942",1.37,0,891,127,0,0,367
2020-06-25,"1,832","3,609",2.55,1,851,126,7,15,507
2020-06-26,"1,759","2,559",1.81,2,870,55,13,24,390
2020-06-27,"2,588","9,463",6.7,3,"1,079",252,67,42,"1,470"
2020-06-28,"2,678","11,485",8.09,8,500,187,98,77,"1,576"
2020-06-29,"2,183","5,669",4,4,751,194,8,27,910
2020-06-30,"2,020","4,272",3.02,4,732,203,11,9,753
2020-07-01,"2,189","9,336",6.54,2,637,114,81,27,957
2020-07-02,"1,989","4,935",3.47,7,833,193,14,5,711
2020-07-03,"2,164","7,336",5.18,5,637,275,10,2,993
2020-07-04,"2,055","6,758",4.76,3,763,197,24,1,800
2020-07-05,"1,960","3,585",2.48,3,747,166,16,5,689
2020-07-06,"2,422","9,188",6.49,8,754,222,62,31,"1,247"
2020-07-07,"2,161","3,606",2.56,5,802,259,14,2,927
2020-07-08,"2,782","10,955",7.71,6,665,224,48,84,"1,632"
2020-07-09,"2,326","8,520",6.02,10,624,282,37,13,"1,189"
2020-07-10,"2,138","6,414",4.49,3,781,251,12,0,910
2020-07-11,"2,111","7,081",5.07,3,461,194,27,9,882
2020-07-12,"2,798","12,635",8.9,4,613,261,92,51,"1,717"
2020-07-13,"2,329","10,693",7.55,6,523,235,68,10,"1,161"
2020-07-14,"1,811","3,441",2.43,1,877,167,0,0,504
2020-07-15,"2,200","6,542",4.64,3,684,195,25,23,938
2020-07-16,"1,859","2,475",1.48,1,944,164,0,0,517
2020-07-17,"1,769","1,625",1.13,1,560,131,0,0,419
2020-07-18,"2,667","14,909",10.49,13,677,274,77,32,"1,577"
2020-07-19,"2,706","16,186",11.43,20,577,214,118,45,"1,610"
2020-07-20,"1,831","3,916",2.78,3,757,138,5,11,513
2020-07-21,"1,637","1,451",1.01,1,747,89,0,0,279
2020-07-22,"1,768","3,324",2.35,3,909,147,0,0,446
2020-07-23,"2,017","6,863",4.85,2,777,122,58,9,710
2020-07-24,"2,322","5,354",3.92,2,920,147,33,51,"1,041"
2020-07-25,"2,028","4,060",2.87,2,511,160,20,14,766
2020-07-26,"1,737","2,061",1.44,2,686,128,0,0,399
2020-07-27,"2,437","11,679",7.68,9,586,307,46,19,"1,339"
2020-07-28,"1,995","5,657",3.99,6,707,245,0,0,774
2020-07-29,"1,924","4,320",2.77,3,935,167,17,10,655
2020-07-30,"1,840","3,833",2.71,3,757,199,0,0,572
2020-07-31,"1,409",281,0.2,0,"1,440",0,0,0,0
2020-08-01,"1,933","4,335",3.02,2,"1,234",196,7,3,682
2020-08-02,"2,262","6,030",4.26,4,639,326,19,0,"1,125"
2020-08-03,"2,219","7,356",4.98,2,691,278,6,15,"1,044"
2020-08-04,"1,702","2,413",1.7,2,679,100,8,0,346
2020-08-05,"1,832","2,922",2.06,4,827,174,0,0,545
2020-08-06,"1,897","5,598",3.95,7,888,180,7,4,622
2020-08-07,"2,250","7,776",5.49,6,692,340,9,0,"1,128"
2020-08-08,"2,697","13,077",8.65,10,421,381,64,20,"1,685"
2020-08-09,"2,401","9,238",6.52,10,520,397,4,5,"1,328"
2020-08-10,"2,392","9,611",6.66,9,647,443,0,0,"1,339"
2020-08-11,"2,276","10,041",6.97,12,596,359,8,10,"1,174"
2020-08-12,"1,782","3,081",2.18,2,840,167,0,0,494
2020-08-13,"2,021","4,145",1.92,4,759,237,0,0,768
2020-08-14,"2,435","11,311",6.92,14,682,252,44,36,"1,297"
2020-08-15,"2,128","5,319",3.76,1,629,311,0,0,954
2020-08-16,"2,288","7,835",5.53,3,513,381,0,0,"1,181"
2020-08-17,"1,772","3,293",2.32,2,904,160,0,0,475
2020-08-18,"1,729","1,831",1.29,0,951,128,0,0,376
2020-08-19,"1,857","3,676",2.57,1,"1,256",184,0,0,587
2020-08-20,"1,833","3,923",2.62,2,783,186,0,0,541
2020-08-21,"1,846","2,413",1.49,0,834,174,0,0,542
2020-08-22,"2,260","7,301",5.04,3,596,287,23,17,"1,097"
2020-08-23,"1,997","3,454",2.44,7,538,238,0,0,769
2020-08-24,"2,364","9,391",6.41,2,634,321,31,14,"1,240"
2020-08-25,"2,124","6,716",4.49,1,802,199,25,18,881
2020-08-26,"2,064","9,013",6.36,3,696,194,21,22,834
2020-08-27,"2,232","8,136",5.74,6,741,300,7,0,"1,047"
2020-08-28,"2,617","7,670",5.42,6,426,379,36,10,"1,552"
2020-08-29,"2,141","6,521",4.6,3,627,319,0,0,957
2020-08-30,"1,773","3,644",2.57,3,741,137,6,2,459
2020-08-31,"2,056","6,978",4.9,12,703,222,4,7,796
2020-09-01,"2,143","8,042",5.63,8,692,241,24,0,925
2020-09-02,"2,162","7,362",4.71,9,730,284,0,0,971
2020-09-03,"2,152","8,371",5.91,8,692,211,22,16,920
2020-09-04,"2,578","12,096",8.51,8,617,252,54,35,"1,429"
2020-09-05,"2,500","14,473",10.22,4,689,162,61,73,"1,342"
2020-09-06,"1,885","3,659",2.58,8,575,189,0,0,595
2020-09-07,"2,056","6,788",4.78,6,706,265,0,0,835
2020-09-08,"1,858","4,711",3.33,6,751,165,4,10,573
2020-09-09,"2,058","7,718",5.37,8,665,193,22,11,817
2020-09-10,"1,948","5,684",4.01,10,723,204,0,0,685
2020-09-11,"1,932","5,291",3.74,3,604,207,9,0,682
2020-09-12,"1,905","3,631",2.56,3,752,226,0,0,661
2020-09-13,"1,994","6,924",4.89,5,655,180,25,7,741
2020-09-14,"1,913","5,545",3.91,12,844,183,0,0,612
2020-09-15,"1,970","4,705",3.32,3,769,199,3,10,691
2020-09-16,"1,984","6,933",4.89,5,704,213,6,1,735
2020-09-17,"1,822","4,006",2.83,4,757,153,0,0,513
2020-09-18,"1,864","4,911",3.47,7,"1,257",183,0,0,587
2020-09-19,"2,265","9,769",6.9,14,816,214,39,16,"1,062"
2020-09-20,"1,996","4,482",3.16,10,635,229,0,0,760
2020-09-21,"1,830","3,404",2.4,5,849,157,0,0,504
2020-09-22,"2,036","6,386",4.43,5,723,217,1,9,792
2020-09-23,"1,754","2,868",2.02,1,746,153,0,0,455
2020-09-24,"1,939","6,230",4.37,11,703,199,0,0,660
2020-09-25,"2,108","5,215",3.68,5,"1,160",280,0,0,908
2020-09-26,"1,910","3,773",2.64,4,773,218,0,0,665
2020-09-27,"1,788","3,590",2.53,0,667,169,6,0,509
2020-09-28,"1,846","3,825",2.68,2,815,182,0,0,562
2020-09-29,"2,014","4,516",3.19,8,787,199,13,0,719
2020-09-30,"2,039","5,587",3.94,9,806,226,9,1,783
2020-10-01,"2,132","5,168",3.64,10,693,253,0,0,872
2020-10-02,"2,377","3,113",2.2,1,523,338,27,1,"1,228"
2020-10-03,"1,827","1,815",1.28,2,741,145,8,2,511
2020-10-04,"1,753","2,284",1.61,2,760,152,0,0,421
2020-10-05,"1,581","1,324",0.93,1,"1,363",77,0,0,211
2020-10-06,"1,611","1,279",0.9,0,732,94,0,0,253
2020-10-07,"1,708","2,441",1.72,4,758,136,0,0,385
2020-10-08,"1,690","1,507",1.06,2,834,123,0,0,342
2020-10-09,"1,767","4,781",3.38,0,776,118,26,0,462
2020-10-10,"1,666","1,976",1.4,2,802,116,0,0,329
2020-10-11,"1,617","1,224",0.86,2,794,89,0,0,249
2020-10-12,"1,956","4,622",3.26,1,737,210,6,1,681
2020-10-13,"2,241","7,070",4.99,10,681,228,31,23,"1,031"
2020-10-14,"1,894","5,057",3.57,14,"1,277",154,2,7,587
2020-10-15,"1,887","6,476",4.57,14,743,122,18,20,581
2020-10-16,"2,306","9,412",6.63,17,510,256,33,9,"1,131"
2020-10-17,"1,683","1,341",0.95,0,697,112,0,0,321
2020-10-18,"1,881","4,596",3.18,7,668,163,1,14,604
2020-10-19,"1,731","3,219",2.27,3,969,107,0,0,362
2020-10-20,"1,728","1,435",1.01,0,819,120,0,0,356
2020-10-21,"1,656","1,336",0.94,1,841,101,0,0,287
2020-10-22,"1,873","3,911",2.69,1,783,139,17,6,532
2020-10-23,"2,212","9,906",6.99,13,643,208,23,25,983
2020-10-24,"1,928","3,270",2.31,3,790,219,0,0,662
2020-10-25,"1,880","5,787",4.29,1,980,143,4,22,588
2020-10-26,"1,693","2,059",1.45,0,823,139,0,0,372
2020-10-27,"2,012","7,006",4.95,13,864,201,12,4,750
2020-10-28,"2,112","9,602",6.76,17,785,164,20,33,850
2020-10-29,"1,627","2,551",1.8,3,860,89,0,0,285
2020-10-30,"2,373","11,074",7.76,21,456,200,56,39,"1,217"
2020-10-31,"2,424","7,843",5.39,19,569,396,6,7,"1,340"
2020-11-01,"1,963","4,193",2.93,2,680,178,1,12,623
2020-11-02,"2,045","8,532",5.86,15,727,176,3,14,756
2020-11-03,"2,076","7,359",5.2,7,727,188,19,20,828
2020-11-04,"2,108","7,456",5.17,9,730,250,2,8,880
2020-11-05,"1,967","6,522",4.54,13,734,193,5,5,698
2020-11-06,"2,142","7,694",5.43,3,685,231,11,17,926
2020-11-07,"1,996","5,411",3.8,7,534,190,9,13,752
2020-11-08,"2,041","8,231",5.81,17,758,193,28,14,813
2020-11-09,"1,808","2,924",2.06,3,880,177,0,0,504
2020-11-10,"2,090","6,535",4.61,10,691,180,12,26,826
2020-11-11,"1,958","6,707",4.67,10,816,141,14,8,627
2020-11-12,"2,075","8,411",5.54,16,717,167,17,20,805
2020-11-13,"2,247","11,987",8.19,15,757,184,16,57,"1,029"
2020-11-14,"2,064","8,262",5.81,7,654,201,10,36,842
2020-11-15,"1,887","6,015",4.21,3,672,144,11,20,601
2020-11-16,"1,998","6,797",4.72,8,833,164,11,19,699
2020-11-17,"2,090","5,830",4.06,5,800,171,33,13,850
2020-11-18,"1,894","5,493",3.87,8,838,162,4,11,597
2020-11-19,"1,996","6,610",4.57,4,778,180,19,15,735
2020-11-20,"1,965","6,070",4.13,4,785,160,7,22,681
2020-11-21,"2,109","4,761",3.31,3,680,289,0,0,878
2020-11-22,"2,036","6,130",4.32,6,800,235,14,0,802
2020-11-23,"2,108","4,745",3.35,4,640,299,0,0,905
2020-11-24,"2,003","5,223",3.68,2,746,265,0,0,774
2020-11-25,"2,106","5,742",3.98,2,680,302,0,0,919
2020-11-26,"2,189","7,179",5.2,1,722,236,11,31,"1,003"
2020-11-27,"2,027","3,445",2.39,0,746,220,15,1,739
2020-11-28,"2,044","5,005",3.53,0,487,290,0,0,836
